acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,339174413,,Sensor de Semente - Greco Agro Tech | Precision Planting PM4,P,354.85,261.35,140.0,GR142229,04_GRECO
alterar,339174437,,Suporte do Dosador - AGCO ACX3266690 | Plantadeira Momentum,P,212.52,185.83,100.96,ACX3266690,03_AGCO
alterar,339174506,,Condutor de Sementes para Sensor - AGCO ACW0551840,P,19.26,17.93,9.15,ACW0551840,03_AGCO
alterar,339174717,,Conjunto Montado Joelho - AGCO ACX2719210,P,29.07,23.57,13.81,ACX2719210,03_AGCO
alterar,339174808,,Dobradiça Esquerda Inferior - Massey Ferguson 4383927M4,P,42.12,34.87,20.01,4383927M4,03_AGCO
alterar,339174628,,Vedação Tubo de Ar - AGCO ACX283890A | Sistema Pneumático,P,42.4,35.08,20.14,ACX283890A,03_AGCO
alterar,339174643,,Manípulo Pneumático - AGCO ACX310603A,P,9.54,7.92,4.53,ACX310603A,03_AGCO
alterar,339174829,,Dobradiça Esquerda Superior - Massey Ferguson 4383923M4,P,42.12,58.02,20.01,4383923M4,03_AGCO
alterar,339174596,,Copo Venturi C - AGCO ACX363311C | Dosador Pneumático,P,17.49,14.74,8.31,ACX363311C,03_AGCO
alterar,339174574,,Copo Venturi B - AGCO ACX363311B | Dosador Pneumático,P,17.49,14.74,8.31,ACX363311B,03_AGCO
alterar,339174667,,Conjunto Adaptador de Vácuo - AGCO ACX2414460,P,18.99,16.42,9.02,ACX2414460,03_AGCO
alterar,339174688,,Bocal Cotovelo de Vácuo - AGCO ACX3371800,P,12.15,11.13,5.77,ACX3371800,03_AGCO
alterar,339174729,,Acoplamento do Condutor - Massey Ferguson 7038105M1,P,8.29,7.06,3.94,7038105M1,03_AGCO
alterar,339174754,,Acoplamento da Curva - Massey Ferguson 7038106M1,P,8.29,7.06,3.94,7038106M1,03_AGCO
alterar,339174787,,Proteção SRM - AGCO ACX5458940 | Monitor de Linhas,P,18.19,16.5,8.64,ACX5458940,03_AGCO
alterar,339174615,,Copo Venturi - AGCO ACX3601860 | Dosador Pneumático,P,20.15,16.18,9.57,ACX3601860,03_AGCO
alterar,339174843,,Dobradiça Direita Superior - Massey Ferguson 4383933M4,P,42.12,34.87,20.01,4383933M4,03_AGCO
alterar,339174854,,Dobradiça Direita Inferior - Massey Ferguson 4383934M4,P,42.12,34.87,20.01,4383934M4,03_AGCO
alterar,339174563,,Tampa Maior do Tubo - AGCO ACX3473430,P,11.49,9.66,5.46,ACX3473430,03_AGCO
alterar,339174870,,Defletor do Radiador - AGCO ACX329796A,P,179.88,193.42,85.45,ACX329796A,03_AGCO
alterar,339174548,,Condutor Reto de Sementes - AGCO 33070004,P,13.56,14.38,6.44,33070004,03_AGCO
criar,,5.1621.0680005.0,MLR 160 C3.C2.P5,N,,1369.59,767.55,5.1621.0680005.0,02_SOHIPREN
criar,,5.1302.0565122.0,BOMBA APLICACION MF A-028 (ACX5148180) GIRO I (PROTOTIPO),N,,1888.89,1096.5,5.1302.0565122.0,02_SOHIPREN
criar,,ACX2719210-KIT30,CJ MONTADO JOELHO — Kit 30 unidades,N,,707.01,414.3,ACX2719210-KIT30,03_AGCO
criar,,4383927M4-KIT10,DOBRADIÇA ESQUERDA INFERIOR — Kit 10 unidades,N,,348.68,200.10000000000002,4383927M4-KIT10,03_AGCO
criar,,ACX283890A-KIT10,VEDAÇÃO TUBO DE AR — Kit 10 unidades,N,,350.75,201.4,ACX283890A-KIT10,03_AGCO
criar,,ACX310603A-KIT50,MANIPULO PNEUMATICO — Kit 50 unidades,N,,396.58,226.5,ACX310603A-KIT50,03_AGCO
criar,,ACX363311C-KIT60,COPO VENTURI C — Kit 60 unidades,N,,884.25,498.6,ACX363311C-KIT60,03_AGCO
criar,,ACX363311B-KIT60,COPO VENTURI B — Kit 60 unidades,N,,884.25,498.6,ACX363311B-KIT60,03_AGCO
criar,,ACX2414460-KIT20,CJ ADAPTADOR DE VACUO — Kit 20 unidades,N,,328.33,180.39999999999998,ACX2414460-KIT20,03_AGCO
criar,,4383933M4-KIT10,DOBRADIÇA DIREITA SUPERIOR — Kit 10 unidades,N,,348.68,200.10000000000002,4383933M4-KIT10,03_AGCO
criar,,4383934M4-KIT10,DOBRADIÇA DIREITA INFERIOR — Kit 10 unidades,N,,348.68,200.10000000000002,4383934M4-KIT10,03_AGCO
criar,,ACX3473430-KIT40,TAMPA MAIOR DO TUBO — Kit 40 unidades,N,,386.15,218.4,ACX3473430-KIT40,03_AGCO
criar,,33070004-KIT25,CONDUTOR RETO — Kit 25 unidades,N,,359.7,161.0,33070004-KIT25,03_AGCO
criar,,6237989M1-KIT10,CORPO BICO 1POL E SAÍDAS — Kit 10 unidades,N,,457.2,264.6,6237989M1-KIT10,03_AGCO
